review_id,system_labels,human_labels,outcome,notes,auditor,date
r001,hard_to_clean,,,,,
r002,hard_to_clean,,,,,
r003,hard_to_clean,,,,,
r004,hard_to_clean,,,,,
r005,hard_to_clean,,,,,
r006,hard_to_clean,,,,,
r007,hard_to_clean,,,,,
r008,,,,,,
r009,,,,,,
r010,hard_to_clean,,,,,
r011,noise,,,,,
r012,,,,,,
r013,,,,,,
r014,,,,,,
r015,noise,,,,,
r016,,,,,,
r017,,,,,,
r018,noise,,,,,
r019,noise,,,,,
r020,,,,,,
r021,leakage,,,,,
r022,leakage,,,,,
r023,leakage,,,,,
r024,leakage,,,,,
r025,leakage,,,,,
r026,leakage,,,,,
r027,,,,,,
r028,,,,,,
r029,pump_lifetime,,,,,
r030,pump_lifetime,,,,,
r031,pump_lifetime,,,,,
r032,,,,,,
r033,pump_lifetime,,,,,
r034,,,,,,
r035,pump_lifetime,,,,,
r036,,,,,,
r037,filter_cost,,,,,
r038,filter_cost,,,,,
r039,,,,,,
r040,filter_cost,,,,,
r041,,,,,,
r042,,,,,,
r043,,,,,,
r044,filter_cost,,,,,
r045,,,,,,
r046,,,,,,
r047,capacity,,,,,
r048,,,,,,
r049,,,,,,
r050,capacity,,,,,
